Algoritmo;Tamano_Problema;Semilla;Generacion;Makespan
AG;Mediana (50x10);18;97;3130
AG;Mediana (50x10);18;113;3129
AG;Mediana (50x10);18;122;3128
AG;Mediana (50x10);18;131;3126
AG;Mediana (50x10);19;0;3135
AG;Mediana (50x10);19;102;3134
AG;Mediana (50x10);19;231;3133
AG;Mediana (50x10);19;291;3130
AG;Mediana (50x10);19;292;3128
AG;Mediana (50x10);19;300;3121
AG;Mediana (50x10);20;0;3135
AG;Mediana (50x10);20;106;3134
AG;Mediana (50x10);20;227;3130
AG;Mediana (50x10);21;0;3135
AG;Mediana (50x10);21;49;3134
AG;Mediana (50x10);21;147;3132
AG;Mediana (50x10);21;180;3128
AG;Mediana (50x10);21;224;3125
AG;Mediana (50x10);21;228;3123
AG;Mediana (50x10);21;261;3120
AG;Mediana (50x10);21;264;3119
AG;Mediana (50x10);22;0;3135
AG;Mediana (50x10);22;35;3134
AG;Mediana (50x10);22;190;3132
AG;Mediana (50x10);22;199;3124
AG;Mediana (50x10);22;212;3123
AG;Mediana (50x10);22;292;3121
AG;Mediana (50x10);23;0;3135
AG;Mediana (50x10);23;92;3134
AG;Mediana (50x10);23;212;3128
AG;Mediana (50x10);24;0;3135
AG;Mediana (50x10);24;20;3134
AG;Mediana (50x10);25;0;3135
AG;Mediana (50x10);25;23;3132
AG;Mediana (50x10);25;101;3127
AG;Mediana (50x10);26;0;3135
AG;Mediana (50x10);26;14;3121
AG;Mediana (50x10);26;33;3120
AG;Mediana (50x10);26;109;3118
AG;Mediana (50x10);26;112;3112
AG;Mediana (50x10);27;0;3135
AG;Mediana (50x10);27;104;3132
AG;Mediana (50x10);27;220;3128
AG;Mediana (50x10);27;294;3125
AG;Mediana (50x10);28;0;3135
AG;Mediana (50x10);28;36;3134
AG;Mediana (50x10);28;76;3132
AG;Mediana (50x10);28;92;3128
AG;Mediana (50x10);28;98;3124
AG;Mediana (50x10);28;130;3122
AG;Mediana (50x10);28;131;3121
AG;Mediana (50x10);28;134;3120
AG;Mediana (50x10);28;136;3119
AG;Mediana (50x10);29;0;3135
AG;Mediana (50x10);29;61;3134
AG;Mediana (50x10);29;70;3128
AG;Mediana (50x10);30;0;3135
AG;Mediana (50x10);30;28;3132
AG;Mediana (50x10);30;49;3128
Memetico;Mediana (50x10);1;0;3135
Memetico;Mediana (50x10);1;1;3103
Memetico;Mediana (50x10);1;16;3098
Memetico;Mediana (50x10);1;20;3087
Memetico;Mediana (50x10);1;23;3060
Memetico;Mediana (50x10);1;26;3046
Memetico;Mediana (50x10);1;29;3043
Memetico;Mediana (50x10);1;36;3034
Memetico;Mediana (50x10);2;0;3135
Memetico;Mediana (50x10);2;1;3103
Memetico;Mediana (50x10);2;6;3100
Memetico;Mediana (50x10);2;7;3088
Memetico;Mediana (50x10);2;9;3080
Memetico;Mediana (50x10);2;17;3070
Memetico;Mediana (50x10);2;18;3062
Memetico;Mediana (50x10);2;21;3055
Memetico;Mediana (50x10);2;27;3050
Memetico;Mediana (50x10);2;29;3049
Memetico;Mediana (50x10);2;30;3046
Memetico;Mediana (50x10);3;0;3135
Memetico;Mediana (50x10);3;1;3103
Memetico;Mediana (50x10);3;8;3083
Memetico;Mediana (50x10);3;9;3075
Memetico;Mediana (50x10);3;11;3074
Memetico;Mediana (50x10);3;13;3048
Memetico;Mediana (50x10);3;19;3034
Memetico;Mediana (50x10);4;0;3135
Memetico;Mediana (50x10);4;1;3103
Memetico;Mediana (50x10);4;11;3090
Memetico;Mediana (50x10);4;13;3087
Memetico;Mediana (50x10);4;15;3082
Memetico;Mediana (50x10);4;19;3072
Memetico;Mediana (50x10);4;30;3061
Memetico;Mediana (50x10);4;34;3047
Memetico;Mediana (50x10);4;37;3044
Memetico;Mediana (50x10);5;0;3135
Memetico;Mediana (50x10);5;1;3103
Memetico;Mediana (50x10);5;18;3079
Memetico;Mediana (50x10);5;31;3070
Memetico;Mediana (50x10);5;34;3059
Memetico;Mediana (50x10);5;35;3058
Memetico;Mediana (50x10);5;46;3047
Memetico;Mediana (50x10);5;54;3046
Memetico;Mediana (50x10);5;60;3038
Memetico;Mediana (50x10);5;66;3037
Memetico;Mediana (50x10);6;0;3135
Memetico;Mediana (50x10);6;1;3103
Memetico;Mediana (50x10);6;3;3090
Memetico;Mediana (50x10);6;9;3059
Memetico;Mediana (50x10);6;24;3046
Memetico;Mediana (50x10);7;0;3135
Memetico;Mediana (50x10);7;1;3103
Memetico;Mediana (50x10);7;8;3080
Memetico;Mediana (50x10);7;9;3079
Memetico;Mediana (50x10);7;15;3072
